NAME,VARLABEL,TYPE,TROLL,DISENGAGED,CONJUNCTIONS,CONJUNCTION NOTES,WHY TROLL? FIRST REVIEWER NOTES,WHY DISENGAGED? FIRST REVIEWER NOTES,CONJUNCTION/TROLL SECOND REVIEWER PASS/FAIL,SECOND REVIEWER PASS/FAIL REASONING
ST008Q02JA,Does your father have any of the following qualifications: [ISCED level 7],NUM,0,0,,,,,,
ST008Q03JA,Does your father have any of the following qualifications: [ISCED level 6],NUM,0,0,,,,,,
ST008Q04JA,Does your father have any of the following qualifications: [ISCED level 5],NUM,0,0,,,,,,
ST008Q05JA,Does your father have any of the following qualifications: [ISCED level 4],NUM,0,0,,,,,,
ST258Q01JA,"In the past 30 days, how often did you not eat because there was not enough money to buy food?",NUM,1,0,ST259Q01JA,"if pupils are skipping meals due to lack of money, they wouldn't then be claiming to be well off in the next question.",,,,
ST259Q01JA,Now think about where you would place your family on this scale. Where would you say your family stands at this time?,NUM,1,0,ST258Q01JA,,,,,
ST259Q02JA,Now think about where you would place your family on this scale. Where do you think you will stand when you are 30?,NUM,0,0,,,,,,
ST019AQ01T,In what country were you and your parents born? You,NUM,0,0,,,,,,
ST019BQ01T,In what country were you and your parents born? Mother,NUM,0,0,,,,,,
ST019CQ01T,In what country were you and your parents born? Father,NUM,0,0,,,,,,
ST021Q01TA,How old were you when you arrived in [country of test]? ,NUM,0,0,,,,,,
ST022Q01TA,What language do you speak at home most of the time?,NUM,0,0,,,,,,
ST226Q01JA,How long have you been enrolled at this school?,NUM,0,0,,,,,,
ST125Q01NA,How old were you when you started [ISCED 0]: Years,NUM,0,0,,,,,,
ST126Q01TA,How old were you when you started [ISCED 1]: Years,NUM,0,0,,,,,,
ST127Q01TA,Have you ever repeated a [grade]: At [ISCED 1],NUM,0,1,,,,Question style†,,
ST127Q02TA,Have you ever repeated a [grade]: At [ISCED 2],NUM,0,1,,,,Question style†,,
ST127Q03TA,Have you ever repeated a [grade]: At [ISCED 3],NUM,0,1,,,,Question style†,,
ST260Q01JA,Have you ever missed school for more than three months in a row: At [ISCED 1],NUM,0,1,,,,Question style†,,
